make,model,yom,transmission,fuel_type,engine_capacity,mileage,price
MAZDA,RX-8 SE3P EDITION,2006,AUTOMATIC,PETROL,1300,82000,6500000
MAZDA,FAMILIA 323,1993,MANUAL,PETROL,1320,140000,995000
MAZDA,AXELA,2004,AUTOMATIC,PETROL,1500,200000,5800000
MAZDA,FAMILIA,1987,MANUAL,PETROL,1300,-,760000
MAZDA,FAMILIA,1985,MANUAL,PETROL,1300,100,1700000
MAZDA,BONGO,2001,MANUAL,DIESEL,2180,204940,4550000
MAZDA,BONGO,1998,MANUAL,DIESEL,2180,-,3700000
MAZDA,VANETTE,1999,MANUAL,DIESEL,2200,186000,4775000
MAZDA,VANETTE,2010,AUTOMATIC,DIESEL,-,233500,5575000
MAZDA,BONGO,2002,MANUAL,DIESEL,2100,11111,5990000
MAZDA,BONGO,1998,MANUAL,DIESEL,2200,436015,7350000
MAZDA,RX-8,2002,MANUAL,PETROL,1000,98000,6950000
MAZDA,TRIBUTE 4WD,2001,AUTOMATIC,PETROL,1990,222000,4490000
DAIHATSU,MIRA,2024,AUTOMATIC,PETROL,660,5000,7625000
DAIHATSU,TAFT G DARK,2025,AUTOMATIC,PETROL,650,-,9675000
DAIHATSU,MIRA,1996,MANUAL,PETROL,800,175000,1775000
DAIHATSU,CHARADE GTTI,1987,MANUAL,PETROL,1000,12344,2390000
DAIHATSU,MIRA,2024,AUTOMATIC,PETROL,650,3300,7200000
DAIHATSU,MIRA X LIMITED,2024,AUTOMATIC,PETROL,650,200,7350000
DAIHATSU,HIJET,2012,AUTOMATIC,PETROL,650,150800,4490000
DAIHATSU,HIJET,2012,AUTOMATIC,PETROL,650,150800,4490000
DAIHATSU,HIJET S200V,2001,MANUAL,PETROL,650,197817,3895000
DAIHATSU,TERIOS,2008,AUTOMATIC,PETROL,1500,121000,7480000
DAIHATSU,ROCKY,2019,AUTOMATIC,PETROL,1000,56000,11590000
HYUNDAI,SONATA,2001,AUTOMATIC,PETROL,1997,25000,2500000
HYUNDAI,EON,2016,MANUAL,PETROL,800,90000,4150000
HYUNDAI,MATRIX,2005,MANUAL,PETROL,1500,1234,1150000
HYUNDAI,EON,2014,MANUAL,PETROL,800,112000,3900000
HYUNDAI,ATOS,2001,MANUAL,PETROL,1000,145000,2350000
HYUNDAI,ACCENT,2000,MANUAL,PETROL,1500,193000,2580000
HYUNDAI,GRAND I10,2024,AUTOMATIC,PETROL,1200,4900,8990000
HYUNDAI,GRAND I10,2024,AUTOMATIC,PETROL,1200,-,9485000
HYUNDAI,SONATA,2001,AUTOMATIC,PETROL,2000,300000,2250000
HYUNDAI,ELANTRA,2001,AUTOMATIC,PETROL,1600,200000,2850000
HYUNDAI,ACCENT,2000,MANUAL,PETROL,1500,193000,2675000
HYUNDAI,SANTA FE,2014,AUTOMATIC,DIESEL,2200,141500,13250000
HYUNDAI,TUCSON,2006,AUTOMATIC,PETROL,2000,163000,5850000
HYUNDAI,TUCSON IX35,2012,AUTOMATIC,PETROL,2000,99000,8975000
HYUNDAI,TUCSON,2014,AUTOMATIC,DIESEL,2000,113000,12925000
HYUNDAI,SANTA FE,2013,AUTOMATIC,PETROL,2400,128400,12500000
HYUNDAI,TUCSON,2010,AUTOMATIC,PETROL,2000,109000,7550000
HYUNDAI,VENUE,2019,AUTOMATIC,PETROL,1000,53200,6500000
HYUNDAI,SANTA FE,2011,AUTOMATIC,DIESEL,2200,146734,11350000
KIA,PICANTO,2016,AUTOMATIC,PETROL,1000,51000,6200000
KIA,RIO,2015,AUTOMATIC,PETROL,1500,170000,7700000
KIA,CERATO,2011,AUTOMATIC,PETROL,1600,167000,5700000
KIA,SORENTO,2014,AUTOMATIC,DIESEL,2200,91000,19500000
KIA,SORENTO,2015,AUTOMATIC,DIESEL,2200,120000,23500000
KIA,SORENTO,2011,AUTOMATIC,PETROL,2400,165000,11500000
KIA,SPORTAGE,2011,AUTOMATIC,DIESEL,2000,168000,10700000
KIA,STONIC,2020,AUTOMATIC,PETROL,1000,80000,11500000
KIA,SORENTO,2012,AUTOMATIC,DIESEL,2200,108000,12250000
KIA,SORENTO,2012,AUTOMATIC,DIESEL,2200,180000,13650000
KIA,SORENTO,2012,AUTOMATIC,DIESEL,2200,1700000,13700000
KIA,SORENTO 1 TO 24,2015,AUTOMATIC,DIESEL,2200,93000,24350000
KIA,SORENTO,2013,AUTOMATIC,DIESEL,2200,1350000,1550000
KIA,SPORTAGE,2012,AUTOMATIC,DIESEL,2000,150000,9650000
BMW,520D M SPORT,2012,AUTOMATIC,DIESEL,2000,140000,22500000
BMW,318I M SPORT,2018,AUTOMATIC,PETROL,1500,82150,23000000
